Hour,Consumption Sma (kWh/h),Consumption Saft (kWh/h),Turbine Production (kWh/h),DH plant Consumption (kWh/h),FCR-N (EUR/MW),FCR-N (MW),FCR-D up (EUR/MW),FCR-D up (MW),FCR-D down (EUR/MW),FCR-D down (MW),Irradiance (Wh/m2),Day Ahead (EUR/MWh)
2023-01-25 10:00:00,301.836,2786.1390000000006,3685.488,622.768,43.3038197911647,0.0,40.649188061674,5.2,19.4433078458498,2.8,182.64473423495528,140.67
2023-01-25 11:00:00,340.22499999999997,2627.0249999999996,3757.7279999999996,604.1279999999997,42.0558938795181,0.0,40.6851613942063,5.2,19.3031603478261,2.7,206.92895951234806,130.92
2023-01-25 12:00:00,244.37899999999996,2665.874,3765.624,653.7600000000002,40.8543921445783,0.0,39.832342420339,5.2,19.2229196837945,2.8,191.35261181703714,131.19
2023-01-25 13:00:00,331.269,2663.0899999999997,3762.8239999999996,597.3359999999998,40.960292626506,0.0,41.41921,4.9,19.1993091897233,2.9,138.03783022070996,130.85
2023-01-25 14:00:00,314.478,2551.552,3764.824,604.04,40.9672608032129,0.0,40.1128488864407,5.2,18.4145020869565,2.9,57.63393616406489,130.5
2023-01-25 15:00:00,298.462,2585.768,3771.8559999999998,615.0240000000003,40.9470208835341,0.0,40.313266,5.1,16.4199964150943,2.6,0.28239921199065654,118.26
2023-01-25 16:00:00,351.083,2580.0039999999995,3770.816,617.808,41.0505227951807,0.0,40.1448943881356,5.1,16.3599409541189,2.6,0.0,133.35
2023-01-25 17:00:00,329.29299999999995,2553.566,3770.768,611.5360000000001,40.9856450561798,0.0,40.3757089830508,5.1,16.2060420285261,2.6,0.0,143.81
2023-01-25 18:00:00,301.695,2451.1369999999997,3767.632,592.6160000000004,41.4473795261044,0.0,40.6720134983051,5.2,16.2871857739689,2.6,0.0,125.45
2023-01-25 19:00:00,269.71799999999996,2406.932,3768.656,620.3519999999999,41.4663649678715,0.0,40.4980002983051,5.2,16.3649502194861,2.6,0.0,125.2
2023-01-25 20:00:00,240.619,2422.428,3771.1599999999994,631.6399999999999,41.5132520722892,0.0,40.4074594576271,5.2,18.051118670265,2.6,0.0,93.73
2023-01-25 21:00:00,241.176,2395.29,3770.768,650.8159999999998,41.4524727429719,0.0,40.0546030508475,5.0,23.6896936363636,2.9,0.0,45.02
2023-01-25 22:00:00,218.576,2333.2079999999996,3771.0399999999995,673.9599999999996,41.504815939759,0.0,40.3051225949153,5.2,22.5467033675889,2.8,0.0,31.21
2023-01-25 23:00:00,220.935,2393.504,3756.192,602.4480000000003,43.8554420040161,0.0,40.0442576677966,5.3,25.1423512332016,2.9,0.0,30.01
2023-01-26 00:00:00,178.07299999999998,2478.301,3771.4079999999994,607.9519999999993,43.5063562106982,1.0,39.5905883748517,5.1,43.6347383721849,2.8,0.0,38.82
2023-01-26 01:00:00,166.11399999999998,2259.101,3771.4719999999998,615.6959999999999,43.5985106430868,1.0,39.6778385985426,5.0,43.4096134782609,2.8,0.0,50.16
2023-01-26 02:00:00,157.913,2176.898,3770.8399999999997,621.0559999999996,43.6064094832459,1.0,39.6031749211998,5.3,43.4028623557312,2.9,0.0,70.06
2023-01-26 03:00:00,170.732,2158.107,3770.424,618.5999999999999,43.5556067905267,1.0,39.6802075749873,5.1,41.0223593320158,2.8,0.0,100.38
2023-01-26 04:00:00,179.57299999999998,2327.063,3771.528,615.2640000000001,43.5127701825726,1.0,39.441410701576,5.2,36.428646337416,2.8,0.0,120.89
2023-01-26 05:00:00,185.575,2166.3920000000003,3770.9120000000003,623.8560000000002,43.7127369297164,1.0,38.7195567141163,5.3,31.2554781972387,2.8,0.0,106.56
2023-01-26 06:00:00,241.46699999999998,2442.667,3771.52,601.1040000000003,41.0856874797786,1.0,40.13438,5.3,17.8789167588933,2.8,0.0,160.39
2023-01-26 07:00:00,354.78999999999996,2573.9109999999996,3770.656,662.288,41.46007,0.0,40.35698,5.4,16.9115824347826,2.8,0.0,182.49
2023-01-26 08:00:00,335.634,2645.3489999999997,3079.944,651.1199999999999,40.7177512850467,0.0,40.55182,5.0,16.520365,2.7,42.34500744787909,198.95
2023-01-26 09:00:00,249.13199999999998,2686.4399999999996,3757.176,658.2960000000003,40.529667038961,0.0,40.5312467832979,4.7,16.2895568932806,2.9,126.15593393239955,199.06
2023-01-26 10:00:00,296.74300000000005,2695.8999999999996,3770.776,617.7040000000002,40.9872176513761,0.0,40.2728710145208,4.9,17.431463256917,2.7,187.3164751351391,192.38
